lane,module,symbol,kind,lines,verdict,evidence,callers_src,callers_live,callers_dead_scripts,callers_oneshot,callers_tests,traced,audit
experiment,studies/analysis,study_metrics,function,,keep,"Called by Study.ipynb; verified to reproduce all nine stored results.csv values to full float precision. Refactor: it has no data= escape hatch (:790-798), so unlike its four siblings it is unusable on the 4 of 5 archived suites whose config.json has panel_config: None — an asymmetry that sits directly against the on-disk floor. standard_deviation is never passed despite being the spread the project's reporting convention asks for.",studies/__init__[import],nb:Study[call+import],,,t:test_studies_analysis[call+import],unreached,04
experiment,studies/analysis,compare_study_metrics,function,,keep,Called by Study.ipynb ×7. Same missing data= escape hatch (:985-993) and same unused standard_deviation.,studies/__init__[import],nb:Study[call+import],,,t:test_studies_analysis[call+import],unreached,04
experiment,studies/analysis,describe_dataset,function,,kill-candidate,"Imported three times by Study.ipynb and called zero times (verified by AST); its only caller is its own wrapper describe_suite_dataset. Audit 04 calls it the weakest part of analysis.py: a 40-key pd.Series of descriptive statistics with hardcoded thresholds (<5, >=2, p90/p99, the literal key 'customers_with_1_transaction'), no test, and the only part of the module that never reads a prediction file or a suite folder — by altitude it does not belong in a study-archive reader at all. Reads `frequency` off the loose data dict while reading its six sibling fields through the panel_config-preferring cfg() helper, so frequency is None for a legacy dict.",studies/__init__[import],nb:Study[import],,,,unreached,04
experiment,studies/analysis,describe_suite_dataset,function,,keep,Called by Study.ipynb (6 references); the wrapper that keeps describe_dataset alive. Ticket 06 should decide the pair together.,studies/__init__[import],nb:Study[call+import],,,,unreached,04
experiment,studies/pnbd_grid,(module),module,623,refactor,"623 lines with ZERO test coverage, direct or indirect, behind the thesis's synthetic-grid figures (6 stored PNGs in Pareto_Datasets.ipynb) — alive by carve-out and by notebook callers. alive_volume_ratio_grid and dead_volume_leakage_grid are byte-identical for 51 of 55 lines (verified by diff) while their own docstrings say the two numbers come from one decomposition (R_A + L_D), yet each makes a full independent pass reloading every panel, ground truth and prediction file; seasonality_grid repeats the same outer scaffold a third time. Re-implements analysis._discover_models three times as `sorted(p for p in suite.iterdir() if p.is_dir())` (:236,:335,:438) — filesystem order, no config, and it would pick up any non-model subdirectory. Hardcodes 'Id' three times while load_predictions_from_csv sits one subpackage away with an id-sniffing candidate list. Weekly throughout (_DETREND_WINDOW=13, absolute week numbers, WEEKS_PER_YEAR). CWD-relative Path('Studies')/... in three functions.",studies/__init__,,,sc:make_grid_figures,,0/13 symbols traced,04
experiment,studies/pnbd_grid,DEFAULT_METRICS,constant,,keep,No audit ruled on it by name. Mechanical: intra-module default for collect_grid_results and group_summary. Note its 'mape' entry is the alias _METRIC_SOURCE maps to the stored column mape_aggregate_style (dup D8).,,,,,,n/a (class/constant not traced),none
experiment,studies/pnbd_grid,collect_grid_results,function,,keep,"Called by Pareto_Datasets.ipynb and scripts/make_grid_figures.py; reads the stored rmse/bias_percent/mape_aggregate_style columns, so it delegates to the metric authority transitively.",studies/__init__[import],nb:Pareto_Datasets[call+import],,sc:make_grid_figures[call+import],,unreached,04
experiment,studies/pnbd_grid,seasonality_grid,function,,keep,Called by Pareto_Datasets.ipynb; behind stored grid figures. Shares the triplicated outer scaffold.,studies/__init__[import],nb:Pareto_Datasets[call+import],,,,unreached,04
experiment,studies/pnbd_grid,alive_volume_ratio_grid,function,,refactor,"Live (Pareto_Datasets.ipynb) but 51 of its 55 lines are byte-identical to dead_volume_leakage_grid; the divergence is `alive_week = weeks < tau_i`/p_alive vs `dead_week = weeks >= tau_i`/leaked plus the output column name, and the oracle_alive block is identical text.",studies/__init__[import],nb:Pareto_Datasets[call+import],,,,unreached,04
experiment,studies/pnbd_grid,dead_volume_leakage_grid,function,,refactor,The other half of the duplicated pair; one decomposition computed by two full passes over every dataset.,studies/__init__[import],nb:Pareto_Datasets[call+import],,,,unreached,04
experiment,studies/pnbd_grid,group_summary,function,,keep,Called by Pareto_Datasets.ipynb. Its _mean_ci helper is the third Student-t CI copy and returns 'std'/'n' keys nothing reads.,studies/__init__[import],nb:Pareto_Datasets[call+import],,,,unreached,04
experiment,studies/pnbd_grid,compare_models_table,function,,keep,Called by Pareto_Datasets.ipynb; reads only mean/ci_low/ci_high of _mean_ci's output.,studies/__init__[import],nb:Pareto_Datasets[call+import],,,,unreached,04
experiment,studies/pnbd_grid,plot_pattern,function,,keep,Called by Pareto_Datasets.ipynb; behind stored figures (carve-out).,studies/__init__[import],nb:Pareto_Datasets[call+import],,,,unreached,04
experiment,studies/pnbd_grid,plot_diff_grid,function,,refactor,"Live (Pareto_Datasets.ipynb) but its model folder names are hardcoded defaults (model_a='LSTM', model_b='ParetoNBD', :589-590) and its own docstring notes archived suites store the benchmark as 'ParetoNBD_MLE' — which Studies/cross_entropy_cfg_2yTrain_1yPred_NoCov_TestDimanche/ParetoNBD_MLE/ confirms, so the default is wrong for part of the archive it reads.",studies/__init__[import],nb:Pareto_Datasets[call+import],,,,unreached,04
